,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0
1,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0
2,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0
3,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0
4,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0
5,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0
6,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0
7,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0
8,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0
9,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0
10,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0
11,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0
12,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0
13,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0
14,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0,40.095,2690.751,12341.872,744.578,634.578,430.443,863.947,589.5,4843.054,36.355,43.57,0.0,0.851,589.018,0.482,3.0
